Name,Link,Image URL,Description,Type,Height (m),Weight (kg),Species,HP,Attack,Defense,Special Attack,Special Defense,Speed
Metapod,https://pokemondb.net/pokedex/metapod,https://img.pokemondb.net/artwork/metapod.jpg,"Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell. This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body. Inside the shell, it is soft and weak as it pre­ pares to evolve. It stays motion­ less in the shell.",Bug,0.7000000000000001,9.9,Cocoon Pokémon,50,20,55,25,25,30
Butterfree,https://pokemondb.net/pokedex/butterfree,https://img.pokemondb.net/artwork/butterfree.jpg,"Its wings, covered with poisonous powders, repel water. This allows it to fly in the rain. In battle, it flaps its wings at high speed to release highly toxic dust into the air. It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.","Bug, Flying",1.1,32.0,Butterfly Pokémon,60,45,50,90,80,70
Weedle,https://pokemondb.net/pokedex/weedle,https://img.pokemondb.net/artwork/weedle.jpg,"Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves. Often found in forests, eating leaves. It has a sharp venomous stinger on its head.","Bug, Poison",0.30000000000000004,3.2,Hairy Bug Pokémon,40,35,30,20,20,50
Kakuna,https://pokemondb.net/pokedex/kakuna,https://img.pokemondb.net/artwork/kakuna.jpg,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy. Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators. Although it is a cocoon, it can move a little. It can extend its poison barb if it is attacked.","Bug, Poison",0.6000000000000001,10.0,Cocoon Pokémon,45,25,50,25,25,35
Beedrill,https://pokemondb.net/pokedex/beedrill,https://img.pokemondb.net/artwork/beedrill.jpg,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail. It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly. It has 3 poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,"Bug, Poison",1.0,29.5,Poison Bee Pokémon,65,90,40,45,80,75
Pidgey,https://pokemondb.net/pokedex/pidgey,https://img.pokemondb.net/artwork/pidgey.jpg,"A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand. Very docile. If attacked, it will often kick up sand to protect itself rather than fight back.","Normal, Flying",0.30000000000000004,1.8,Tiny Bird Pokémon,40,45,40,35,35,56
Pidgeotto,https://pokemondb.net/pokedex/pidgeotto,https://img.pokemondb.net/artwork/pidgeotto.jpg,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder. This POKéMON is full of vitality. It constantly flies around its large territory in search of prey. It has outstanding vision. However high it flies, it is able to distin­ guish the move­ ments of its prey.","Normal, Flying",1.1,30.0,Bird Pokémon,63,60,55,50,50,71
Pidgeot,https://pokemondb.net/pokedex/pidgeot,https://img.pokemondb.net/artwork/pidgeot.jpg,"Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps. This POKéMON flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons. When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.","Normal, Flying",1.5,39.5,Bird Pokémon,83,80,75,70,70,101
Rattata,https://pokemondb.net/pokedex/rattata,https://img.pokemondb.net/artwork/rattata.jpg,"Bites anything when it attacks. Small and very quick, it is a common sight in many places. Will chew on any­ thing with its fangs. If you see one, it is certain that 40 more live in the area.",Normal,0.30000000000000004,3.5,Mouse Pokémon,30,56,35,25,35,72
Raticate,https://pokemondb.net/pokedex/raticate,https://img.pokemondb.net/artwork/raticate.jpg,"It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off. Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey.",Normal,0.7000000000000001,18.5,Mouse Pokémon,55,81,60,50,70,97
Spearow,https://pokemondb.net/pokedex/spearow,https://img.pokemondb.net/artwork/spearow.jpg,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey. Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.","Normal, Flying",0.30000000000000004,2.0,Tiny Bird Pokémon,40,60,30,31,31,70
Fearow,https://pokemondb.net/pokedex/fearow,https://img.pokemondb.net/artwork/fearow.jpg,"A POKéMON that dates back many years. If it senses danger, it flies high and away, instantly. It shoots itself suddenly high into the sky, then plummets down in one fell swoop to strike its prey. With its huge and magnificent wings, it can keep aloft without ever having to land for rest.","Normal, Flying",1.2000000000000002,38.0,Beak Pokémon,65,90,65,61,61,100
Ekans,https://pokemondb.net/pokedex/ekans,https://img.pokemondb.net/artwork/ekans.jpg,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole. The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest.",Poison,2.0,6.9,Snake Pokémon,35,60,44,40,54,55
Arbok,https://pokemondb.net/pokedex/arbok,https://img.pokemondb.net/artwork/arbok.jpg,"The frightening patterns on its belly have been studied. Six variations have been confirmed. Transfixing prey with the face-like pattern on its belly, it binds and poisons the frightened victim. It is rumored that the ferocious warning markings on its belly differ from area to area.",Poison,3.5,65.0,Cobra Pokémon,60,95,69,65,79,80
Pikachu,https://pokemondb.net/pokedex/pikachu,https://img.pokemondb.net/artwork/pikachu.jpg,"It keeps its tail raised to monitor its surroundings. If you yank its tail, it will try to bite you. This intelligent POKéMON roasts hard BERRIES with electricity to make them tender enough to eat. When several of these POKéMON gather, their electricity could build and cause lightning storms.",Electric,0.4,6.0,Mouse Pokémon,35,55,40,50,50,90
Raichu,https://pokemondb.net/pokedex/raichu,https://img.pokemondb.net/artwork/raichu.jpg,"When electricity builds up inside its body, it becomes feisty. It also glows in the dark. Its long tail serves as a ground to protect itself from its own high voltage power. Its long tail serves as a ground to protect itself from its own high-voltage power.",Electric,0.8,30.0,Mouse Pokémon,60,90,55,90,80,110
Sandshrew,https://pokemondb.net/pokedex/sandshrew,https://img.pokemondb.net/artwork/sandshrew.jpg,"Burrows deep underground in arid locations far from water. It only emerges to hunt for food. Its body is dry. When it gets cold at night, its hide is said to become coated with a fine dew.",Ground,0.6000000000000001,12.0,Mouse Pokémon,50,75,85,20,30,40
Sandslash,https://pokemondb.net/pokedex/sandslash,https://img.pokemondb.net/artwork/sandslash.jpg,"Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape. It is skilled at slashing enemies with its claws. If broken, they start to grow back in a day.",Ground,1.0,29.5,Mouse Pokémon,75,100,110,45,55,65
Nidoran-f,https://pokemondb.net/pokedex/nidoran-f,https://img.pokemondb.net/artwork/nidoran-f.jpg,"A mild-mannered POKéMON that does not like to fight. Beware, its small horns secrete venom. Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",Poison,0.4,7.0,Poison Pin Pokémon,55,47,52,40,40,41
Nidorina,https://pokemondb.net/pokedex/nidorina,https://img.pokemondb.net/artwork/nidorina.jpg,"The female's horn develops slowly. Prefers physical attacks such as clawing and biting. When resting deep in its burrow, its thorns always retract. This is proof that it is relaxed.",Poison,0.8,20.0,Poison Pin Pokémon,70,62,67,55,55,56
Nidoqueen,https://pokemondb.net/pokedex/nidoqueen,https://img.pokemondb.net/artwork/nidoqueen.jpg,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves. Tough scales cover the sturdy body of this POKéMON. It appears that the scales grow in cycles.,"Poison, Ground",1.3,60.0,Drill Pokémon,90,92,87,75,85,76
Nidoran-m,https://pokemondb.net/pokedex/nidoran-m,https://img.pokemondb.net/artwork/nidoran-m.jpg,"Its large ears are always kept upright. If it senses danger, it will attack with a poisonous sting. Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",Poison,0.5,9.0,Poison Pin Pokémon,46,57,40,40,40,50
Nidorino,https://pokemondb.net/pokedex/nidorino,https://img.pokemondb.net/artwork/nidorino.jpg,"An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom. Its horns contain venom. If they are stabbed into an enemy, the impact makes the poison leak out.",Poison,0.9,19.5,Poison Pin Pokémon,61,72,57,55,55,65
Nidoking,https://pokemondb.net/pokedex/nidoking,https://img.pokemondb.net/artwork/nidoking.jpg,"It swings its big tail around during battle. If its foe flinches, it will charge with its sturdy body. It uses its powerful tail in battle to smash, constrict, then break the prey's bones. Its steel-like hide adds to its powerful tackle. Its horns are so hard, they can pierce a diamond.","Poison, Ground",1.4000000000000001,62.0,Drill Pokémon,81,102,77,85,75,85
Clefairy,https://pokemondb.net/pokedex/clefairy,https://img.pokemondb.net/artwork/clefairy.jpg,"Its magical and cute appeal has many admirers. It is rare and found only in certain areas. Adored for their cute looks and playfulness. They are thought to be rare, as they do not appear often.",Fairy,0.6000000000000001,7.5,Fairy Pokémon,70,45,48,60,65,35
Clefable,https://pokemondb.net/pokedex/clefable,https://img.pokemondb.net/artwork/clefable.jpg,"They appear to be very protective of their own world. It is a kind of fairy, rarely seen by people. A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.",Fairy,1.3,40.0,Fairy Pokémon,95,70,73,95,90,60
Vulpix,https://pokemondb.net/pokedex/vulpix,https://img.pokemondb.net/artwork/vulpix.jpg,"Both its fur and its tails are beautiful. As it grows, the tails split and form more tails. At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",Fire,0.6000000000000001,9.9,Fox Pokémon,38,41,40,50,65,65
Ninetales,https://pokemondb.net/pokedex/ninetales,https://img.pokemondb.net/artwork/ninetales.jpg,"Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse. According to an enduring legend, 9 noble saints were united and reincarnated as this POKéMON.",Fire,1.1,19.900000000000002,Fox Pokémon,73,76,75,81,100,100
Jigglypuff,https://pokemondb.net/pokedex/jigglypuff,https://img.pokemondb.net/artwork/jigglypuff.jpg,"If it inflates to SING a lullaby, it can perform longer and cause sure drowsiness in its audience. Uses its alluring eyes to enrapture its foe. It then sings a pleasing melody that lulls the foe to sleep. When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.","Normal, Fairy",0.5,5.5,Balloon Pokémon,115,45,20,45,25,20
Wigglytuff,https://pokemondb.net/pokedex/wigglytuff,https://img.pokemondb.net/artwork/wigglytuff.jpg,"Its body is full of elasticity. By inhaling deeply, it can continue to inflate itself without limit. The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.","Normal, Fairy",1.0,12.0,Balloon Pokémon,140,70,45,85,50,45
Zubat,https://pokemondb.net/pokedex/zubat,https://img.pokemondb.net/artwork/zubat.jpg,Emits ultrasonic cries while it flies. They act as a sonar used to check for ob­ jects in its way. Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,"Poison, Flying",0.8,7.5,Bat Pokémon,40,45,35,30,40,55
Golbat,https://pokemondb.net/pokedex/golbat,https://img.pokemondb.net/artwork/golbat.jpg,"However hard its victim's hide may be, it punctures with sharp fangs and gorges itself with blood. Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly. It attacks in a stealthy manner, without warning. Its sharp fangs are used to bite and suck blood.","Poison, Flying",1.6,55.0,Bat Pokémon,75,80,70,65,75,90
Oddish,https://pokemondb.net/pokedex/oddish,https://img.pokemondb.net/artwork/oddish.jpg,"It may be mistaken for a clump of weeds. If you try to yank it out of the ground, it shrieks horribly. During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.","Grass, Poison",0.5,5.4,Weed Pokémon,45,50,55,75,65,30
Gloom,https://pokemondb.net/pokedex/gloom,https://img.pokemondb.net/artwork/gloom.jpg,"Smells incredibly foul! However, around 1 out of 1,000 people enjoy sniffing its nose- bending stink. The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.","Grass, Poison",0.8,8.6,Weed Pokémon,60,65,70,85,75,40
Vileplume,https://pokemondb.net/pokedex/vileplume,https://img.pokemondb.net/artwork/vileplume.jpg,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen. The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","Grass, Poison",1.2000000000000002,18.6,Flower Pokémon,75,80,85,110,90,50
Paras,https://pokemondb.net/pokedex/paras,https://img.pokemondb.net/artwork/paras.jpg,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host. Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,"Bug, Grass",0.30000000000000004,5.4,Mushroom Pokémon,35,70,55,45,55,25
Parasect,https://pokemondb.net/pokedex/parasect,https://img.pokemondb.net/artwork/parasect.jpg,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places. The bug host is drained of energy by the mushrooms on its back. They appear to do all the thinking.,"Bug, Grass",1.0,29.5,Mushroom Pokémon,60,95,80,60,80,30
Venonat,https://pokemondb.net/pokedex/venonat,https://img.pokemondb.net/artwork/venonat.jpg,"Lives in the shadows of tall trees where it eats insects. It is attracted by light at night. Its large eyes act as radars. In a bright place, you can see that they are clusters of many tiny eyes.","Bug, Poison",1.0,30.0,Insect Pokémon,60,55,50,40,55,45
Venomoth,https://pokemondb.net/pokedex/venomoth,https://img.pokemondb.net/artwork/venomoth.jpg,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has. The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has. The powdery scales on its wings are hard to remove. They also contain poison that leaks out on contact.,"Bug, Poison",1.5,12.5,Poison Moth Pokémon,70,65,60,90,75,90
Diglett,https://pokemondb.net/pokedex/diglett,https://img.pokemondb.net/artwork/diglett.jpg,"It prefers dark places. It spends most of its time underground, though it may pop up in caves. Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.",Ground,0.2,0.8,Mole Pokémon,10,55,25,35,45,95
Dugtrio,https://pokemondb.net/pokedex/dugtrio,https://img.pokemondb.net/artwork/dugtrio.jpg,"A team of triplets that can burrow over 60 MPH. Due to this, some people think it's an earthquake. A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.",Ground,0.7000000000000001,33.300000000000004,Mole Pokémon,35,100,50,50,70,120
Meowth,https://pokemondb.net/pokedex/meowth,https://img.pokemondb.net/artwork/meowth.jpg,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change. It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,Normal,0.4,4.2,Scratch Cat Pokémon,40,45,35,40,40,90
Persian,https://pokemondb.net/pokedex/persian,https://img.pokemondb.net/artwork/persian.jpg,"Many adore it for its sophisticated air. However, it will lash out and scratch for little reason. The gem in its forehead glows on its own! It walks with all the grace and elegance of a proud queen. Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",Normal,1.0,32.0,Classy Cat Pokémon,65,70,60,65,65,115
Psyduck,https://pokemondb.net/pokedex/psyduck,https://img.pokemondb.net/artwork/psyduck.jpg,"While lulling its enemies with its vacant look, this wily POKéMON will use psychokinetic powers. It has mystical powers but doesn't recall that it has used them. That is why it always looks puzzled. Always tormented by headaches. It uses psychic powers, but it is not known if it intends to do so.",Water,0.8,19.6,Duck Pokémon,50,52,48,65,50,55
Golduck,https://pokemondb.net/pokedex/golduck,https://img.pokemondb.net/artwork/golduck.jpg,"Its slim and long limbs end in broad flippers. They are used for swim­ ming gracefully in lakes. Often seen swim­ ming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.",Water,1.7000000000000002,76.60000000000001,Duck Pokémon,80,82,78,95,80,85
Mankey,https://pokemondb.net/pokedex/mankey,https://img.pokemondb.net/artwork/mankey.jpg,Extremely quick to anger. It could be docile one moment then thrashing away the next instant. An agile POKéMON that lives in trees. It angers easily and will not hesitate to attack anything.,Fighting,0.5,28.0,Pig Monkey Pokémon,40,80,35,35,45,70
Primeape,https://pokemondb.net/pokedex/primeape,https://img.pokemondb.net/artwork/primeape.jpg,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught. It stops being angry only when nobody else is around. To view this moment is very difficult.,Fighting,1.0,32.0,Pig Monkey Pokémon,65,105,60,60,70,95
Growlithe,https://pokemondb.net/pokedex/growlithe,https://img.pokemondb.net/artwork/growlithe.jpg,"A POKéMON with a friendly nature. However, it will bark fiercely at anything invading its territory. Very protective of its territory. It will bark and bite to repel intruders from its space.",Fire,0.7000000000000001,19.0,Puppy Pokémon,55,70,45,70,50,60
Arcanine,https://pokemondb.net/pokedex/arcanine,https://img.pokemondb.net/artwork/arcanine.jpg,A legendary POKé­ MON in China. Many people are charmed by its grace and beauty while running. A POKéMON that has been admired since the past for its beauty. It runs agilely as if on wings.,Fire,1.9000000000000001,155.0,Legendary Pokémon,90,110,80,100,80,95
Poliwag,https://pokemondb.net/pokedex/poliwag,https://img.pokemondb.net/artwork/poliwag.jpg,The direction of the spiral on the belly differs by area. It is more adept at swimming than walking. Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.,Water,0.6000000000000001,12.4,Tadpole Pokémon,40,50,40,40,40,90
Poliwhirl,https://pokemondb.net/pokedex/poliwhirl,https://img.pokemondb.net/artwork/poliwhirl.jpg,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy. Under attack, it uses its belly spiral to put the foe to sleep. It then makes its escape.",Water,1.0,20.0,Tadpole Pokémon,65,65,65,50,50,90
Poliwrath,https://pokemondb.net/pokedex/poliwrath,https://img.pokemondb.net/artwork/poliwrath.jpg,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers. Swims powerfully using all the muscles in its body. It can even overtake champion swimmers.,"Water, Fighting",1.3,54.0,Tadpole Pokémon,90,95,95,70,90,70
Abra,https://pokemondb.net/pokedex/abra,https://img.pokemondb.net/artwork/abra.jpg,"Sleeps 18 hours a day. If it senses danger, it will teleport itself to safety even as it sleeps. It senses impend­ ing attacks and TELEPORTS away to safety before the actual attacks can strike. Using its ability to read minds, it will identify impending danger and TELEPORT to safety.",Psychic,0.9,19.5,Psi Pokémon,25,20,15,105,55,90
Kadabra,https://pokemondb.net/pokedex/kadabra,https://img.pokemondb.net/artwork/kadabra.jpg,"It emits special alpha waves from its body that induce headaches just by being close by. Many odd things happen if this POKéMON is close by. For example, it makes clocks run backwards. It possesses strong spiritual power. The more danger it faces, the stronger its psychic power.",Psychic,1.3,56.5,Psi Pokémon,40,35,30,120,70,105
Alakazam,https://pokemondb.net/pokedex/alakazam,https://img.pokemondb.net/artwork/alakazam.jpg,"A POKéMON that can memorize anything. It never forgets what it learns-- that's why this POKéMON is smart. Its brain can out­ perform a super­ computer. Its intelligence quotient is said to be 5,000.",Psychic,1.5,48.0,Psi Pokémon,55,50,45,135,95,120
Machop,https://pokemondb.net/pokedex/machop,https://img.pokemondb.net/artwork/machop.jpg,Very powerful in spite of its small size. Its mastery of many types of martial arts makes it very tough. Loves to build its muscles. It trains in all styles of martial arts to become even stronger.,Fighting,0.8,19.5,Superpower Pokémon,70,80,50,35,35,35
Machoke,https://pokemondb.net/pokedex/machoke,https://img.pokemondb.net/artwork/machoke.jpg,"The belt around its waist holds back its energy. Without it, this POKéMON would be unstoppable. It always goes at its full power, but this very tough and durable POKéMON never gets tired. Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions.",Fighting,1.5,70.5,Superpower Pokémon,80,100,70,50,60,45
Machamp,https://pokemondb.net/pokedex/machamp,https://img.pokemondb.net/artwork/machamp.jpg,"It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles. One arm alone can move mountains. Using all four arms, this POKéMON fires off awesome punches. Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon.",Fighting,1.6,130.0,Superpower Pokémon,90,130,80,65,85,55
Bellsprout,https://pokemondb.net/pokedex/bellsprout,https://img.pokemondb.net/artwork/bellsprout.jpg,A carnivorous POKéMON that traps and eats bugs. It uses its root feet to soak up needed moisture. Prefers hot and humid places. It ensnares tiny insects with its vines and devours them.,"Grass, Poison",0.7000000000000001,4.0,Flower Pokémon,50,75,35,70,30,40
Weepinbell,https://pokemondb.net/pokedex/weepinbell,https://img.pokemondb.net/artwork/weepinbell.jpg,"Even though it is filled with ACID, it does not melt because it also oozes a neutral­ izing fluid. When hungry, it swallows anything that moves. Its hapless prey is melted inside by strong acids. It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.","Grass, Poison",1.0,6.4,Flycatcher Pokémon,65,90,50,85,45,55
Victreebel,https://pokemondb.net/pokedex/victreebel,https://img.pokemondb.net/artwork/victreebel.jpg,"Said to live in huge colonies deep in jungles, although no one has ever returned from there. Lures prey with the sweet aroma of honey. Swallowed whole, the prey is melted in a day, bones and all. ACID that has dis­ solved many prey becomes sweeter, making it even more effective at attracting prey.","Grass, Poison",1.7000000000000002,15.5,Flycatcher Pokémon,80,105,65,100,70,70
Tentacool,https://pokemondb.net/pokedex/tentacool,https://img.pokemondb.net/artwork/tentacool.jpg,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid. It can sometimes be found all dry and shriveled up on a beach. Toss it back into the sea to revive it.,"Water, Poison",0.9,45.5,Jellyfish Pokémon,40,40,35,50,100,70
Tentacruel,https://pokemondb.net/pokedex/tentacruel,https://img.pokemondb.net/artwork/tentacruel.jpg,"Its 80 tentacles can stretch and contract freely. They wrap around prey and weaken it with poison. The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey.","Water, Poison",1.6,55.0,Jellyfish Pokémon,80,70,65,80,120,100
Geodude,https://pokemondb.net/pokedex/geodude,https://img.pokemondb.net/artwork/geodude.jpg,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them. Commonly found near mountain trails, etc. If you step on one by accident, it gets angry.","Rock, Ground",0.4,20.0,Rock Pokémon,40,80,100,30,30,20
Graveler,https://pokemondb.net/pokedex/graveler,https://img.pokemondb.net/artwork/graveler.jpg,"Often seen rolling down mountain trails. Obstacles are just things to roll straight over, not avoid. Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.","Rock, Ground",1.0,105.0,Rock Pokémon,55,95,115,45,45,35
Golem,https://pokemondb.net/pokedex/golem,https://img.pokemondb.net/artwork/golem.jpg,"Once it sheds its skin, its body turns tender and whitish. Its hide hardens when it's exposed to air. Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.","Rock, Ground",1.4000000000000001,300.0,Megaton Pokémon,80,120,130,55,65,45
Ponyta,https://pokemondb.net/pokedex/ponyta,https://img.pokemondb.net/artwork/ponyta.jpg,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time. Capable of jumping incredibly high. Its hooves and sturdy legs absorb the impact of a hard landing.,Fire,1.0,30.0,Fire Horse Pokémon,50,85,55,65,65,90
Rapidash,https://pokemondb.net/pokedex/rapidash,https://img.pokemondb.net/artwork/rapidash.jpg,"Just loves to run. If it sees some­ thing faster than itself, it will give chase at top speed. At full gallop, its four hooves barely touch the ground because it moves so incredi­ bly fast. Very competitive, this POKéMON will chase anything that moves fast in the hopes of racing it.",Fire,1.7000000000000002,95.0,Fire Horse Pokémon,65,100,70,80,80,105
Slowpoke,https://pokemondb.net/pokedex/slowpoke,https://img.pokemondb.net/artwork/slowpoke.jpg,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack. Incredibly slow and sluggish. It is quite content to loll about without worrying about the time.,"Water, Psychic",1.2000000000000002,36.0,Dopey Pokémon,90,65,65,40,40,15
Slowbro,https://pokemondb.net/pokedex/slowbro,https://img.pokemondb.net/artwork/slowbro.jpg,"The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps. If the tail-biting SHELLDER is thrown off in a harsh battle, it reverts to being an ordi­ nary SLOWPOKE. Lives lazily by the sea. If the SHELLDER on its tail comes off, it becomes a SLOWPOKE again.","Water, Psychic",1.6,78.5,Hermit Crab Pokémon,95,75,110,100,80,30
Magnemite,https://pokemondb.net/pokedex/magnemite,https://img.pokemondb.net/artwork/magnemite.jpg,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves. It is born with the ability to defy gravity. It floats in air on powerful electro­ magnetic waves.,"Electric, Steel",0.30000000000000004,6.0,Magnet Pokémon,25,35,70,95,55,45
Magneton,https://pokemondb.net/pokedex/magneton,https://img.pokemondb.net/artwork/magneton.jpg,"Generates strange radio signals. It raises the tem­ perature by 3.6F degrees within 3,300 feet. Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.","Electric, Steel",1.0,60.0,Magnet Pokémon,50,60,95,120,70,70
